DID,DSID,Physics_identifier,Tags,MC_campaign,Physics_process_short,Files,Size [GB],Events [k],JediTask_ID,Job_link,Status,ZdZd13TeV_commit,Athena_release,Submitted_by,Submitted_date,Finished_date,Output_dataset,Ntuple_files,Ntuple_size [GB],Ntuple_events,hard_l_pdgId,truth_llll_tlv_pt,llll_tlv_pt,Merged_file_path,Notes
mc23_13p6TeV:mc23_13p6TeV.700786.Sh_2214_Zee_maxHTpTV2_BFilter.deriv.DAOD_PHYS.e8514_s4162_r15540_p7266,700786,Sh_2214_Zee_maxHTpTV2_BFilter,e8514_s4162_r15540_p7266,mc23a,Zjets_ee,294,733.353,22020,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700787.Sh_2214_Zee_maxHTpTV2_CFilterBVeto.deriv.DAOD_PHYS.e8514_s4162_r15540_p7266,700787,Sh_2214_Zee_maxHTpTV2_CFilterBVeto,e8514_s4162_r15540_p7266,mc23a,Zjets_ee,565,1169,38040,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700786.Sh_2214_Zee_maxHTpTV2_BFilter.deriv.DAOD_PHYS.e8514_s4159_r15224_p7266,700786,Sh_2214_Zee_maxHTpTV2_BFilter,e8514_s4159_r15224_p7266,mc23d,Zjets_ee,670,1270,34810,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700786.Sh_2214_Zee_maxHTpTV2_BFilter.deriv.DAOD_PHYS.e8514_s4369_r16083_p7266,700786,Sh_2214_Zee_maxHTpTV2_BFilter,e8514_s4369_r16083_p7266,mc23e,Zjets_ee,833,1294,34780,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700787.Sh_2214_Zee_maxHTpTV2_CFilterBVeto.deriv.DAOD_PHYS.e8514_s4159_r15224_p7266,700787,Sh_2214_Zee_maxHTpTV2_CFilterBVeto,e8514_s4159_r15224_p7266,mc23d,Zjets_ee,1144,2074,61250,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700787.Sh_2214_Zee_maxHTpTV2_CFilterBVeto.deriv.DAOD_PHYS.e8514_s4369_r16083_p7266,700787,Sh_2214_Zee_maxHTpTV2_CFilterBVeto,e8514_s4369_r16083_p7266,mc23e,Zjets_ee,1256,2131,61760,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700788.Sh_2214_Zee_maxHTpTV2_CVetoBVeto.deriv.DAOD_PHYS.e8514_s4162_r15540_p7266,700788,Sh_2214_Zee_maxHTpTV2_CVetoBVeto,e8514_s4162_r15540_p7266,mc23a,Zjets_ee,3866,8239,314620,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700788.Sh_2214_Zee_maxHTpTV2_CVetoBVeto.deriv.DAOD_PHYS.e8514_s4159_r15530_p7266,700788,Sh_2214_Zee_maxHTpTV2_CVetoBVeto,e8514_s4159_r15530_p7266,mc23d,Zjets_ee,5031,8970,306260,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700788.Sh_2214_Zee_maxHTpTV2_CVetoBVeto.deriv.DAOD_PHYS.e8514_s4369_r16083_p7266,700788,Sh_2214_Zee_maxHTpTV2_CVetoBVeto,e8514_s4369_r16083_p7266,mc23e,Zjets_ee,5875,9245,308670,,,Not submitted,,,,,,,,,,,,,,
