DID,DSID,Physics_identifier,Tags,MC_campaign,Physics_process_short,Files,Size [GB],Events [k],Job_ID,Job_link,Status,ZdZd13TeV_commit,Athena_release,Submitted_by,Submitted_date,Finished_date,Output_dataset,Ntuple_files,Ntuple_size [GB],Ntuple_events,hard_l_pdgId,truth_llll_tlv_pt,llll_tlv_pt,Merged_file_path,Notes
mc23_13p6TeV:mc23_13p6TeV.601500.PhPy8EG_PDF4LHC21_VBFH125_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4159_r15530_p7266,601500,PhPy8EG_PDF4LHC21_VBFH125_HZZ_4l_notau,e8558_s4159_r15530_p7266,mc23d,H_ZZ_4l,43,64.449,2200,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.604263.PhPy8EG_Hto4l_NNLOPS_nnlo_30_ggH125_ZZ4l.deriv.DAOD_PHYS.e8601_s4162_r15540_p7266,604263,PhPy8EG_Hto4l_NNLOPS_nnlo_30_ggH125_ZZ4l,e8601_s4162_r15540_p7266,mc23a,H_ZZ_4l,56,97.158,4000,51797820,https://bigpanda.cern.ch/task/51797820/,Submitted,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-07-30,,bbH_ZZ4l_notau_mc23All_v1,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601500.PhPy8EG_PDF4LHC21_VBFH125_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4369_r16083_p7266,601500,PhPy8EG_PDF4LHC21_VBFH125_HZZ_4l_notau,e8558_s4369_r16083_p7266,mc23e,H_ZZ_4l,62,159.855,5320,,,Not submitted,,,,,,,,,,,,,,
<<<<<<< HEAD,,,,,,,,,,,,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.604263.PhPy8EG_Hto4l_NNLOPS_nnlo_30_ggH125_ZZ4l.deriv.DAOD_PHYS.e8601_s4159_r15530_p7266,604263,PhPy8EG_Hto4l_NNLOPS_nnlo_30_ggH125_ZZ4l,e8601_s4159_r15530_p7266,mc23d,H_ZZ_4l,63,108.768,3980,51797820,https://bigpanda.cern.ch/task/51797820/,Submitted,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-07-30,,bbH_ZZ4l_notau_mc23All_v1,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.604263.PhPy8EG_Hto4l_NNLOPS_nnlo_30_ggH125_ZZ4l.deriv.DAOD_PHYS.e8601_s4369_r16083_p7266,604263,PhPy8EG_Hto4l_NNLOPS_nnlo_30_ggH125_ZZ4l,e8601_s4369_r16083_p7266,mc23e,H_ZZ_4l,165,308.743,10970,51797820,https://bigpanda.cern.ch/task/51797820/,Submitted,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-07-30,,bbH_ZZ4l_notau_mc23All_v1,,,,,,,,
=======,,,,,,,,,,,,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.604263.PhPy8EG_Hto4l_NNLOPS_nnlo_30_ggH125_ZZ4l.deriv.DAOD_PHYS.e8601_s4159_r15530_p7266,604263,PhPy8EG_Hto4l_NNLOPS_nnlo_30_ggH125_ZZ4l,e8601_s4159_r15530_p7266,mc23d,H_ZZ_4l,63,108.768,3980,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.604263.PhPy8EG_Hto4l_NNLOPS_nnlo_30_ggH125_ZZ4l.deriv.DAOD_PHYS.e8601_s4369_r16083_p7266,604263,PhPy8EG_Hto4l_NNLOPS_nnlo_30_ggH125_ZZ4l,e8601_s4369_r16083_p7266,mc23e,H_ZZ_4l,165,308.743,10970,,,Not submitted,,,,,,,,,,,,,,
>>>>>>> parent of 048203f (Added submission details for DSID 604263, mc23d and mc23e samples.),,,,,,,,,,,,,,,,,,,,,,,,
