DID,DSID,Physics_identifier,Tags,MC_campaign,Physics_process_short,Files,Size [GB],Events [k],Job_ID,Job_link,Status,ZdZd13TeV_commit,Athena_release,Submitted_by,Submitted_date,Finished_date,Output_dataset,Ntuple_files,Ntuple_size [GB],Ntuple_events,hard_l_pdgId,truth_llll_tlv_pt,llll_tlv_pt,Merged_file_path,Notes
mc23_13p6TeV:mc23_13p6TeV.700792.Sh_2214_Ztautau_maxHTpTV2_BFilter.deriv.DAOD_PHYS.e8514_s4162_r15540_p7266,700792,Sh_2214_Ztautau_maxHTpTV2_BFilter,e8514_s4162_r15540_p7266,mc23a,Zjets_tautau,132,736.553,22020,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700793.Sh_2214_Ztautau_maxHTpTV2_CFilterBVeto.deriv.DAOD_PHYS.e8514_s4162_r15540_p7266,700793,Sh_2214_Ztautau_maxHTpTV2_CFilterBVeto,e8514_s4162_r15540_p7266,mc23a,Zjets_tautau,523,1173,38030,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700792.Sh_2214_Ztautau_maxHTpTV2_BFilter.deriv.DAOD_PHYS.e8514_s4159_r15224_p7266,700792,Sh_2214_Ztautau_maxHTpTV2_BFilter,e8514_s4159_r15224_p7266,mc23d,Zjets_tautau,576,1274,35330,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700792.Sh_2214_Ztautau_maxHTpTV2_BFilter.deriv.DAOD_PHYS.e8514_s4369_r16083_p7266,700792,Sh_2214_Ztautau_maxHTpTV2_BFilter,e8514_s4369_r16083_p7266,mc23e,Zjets_tautau,730,1301,35340,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700793.Sh_2214_Ztautau_maxHTpTV2_CFilterBVeto.deriv.DAOD_PHYS.e8514_s4159_r15224_p7266,700793,Sh_2214_Ztautau_maxHTpTV2_CFilterBVeto,e8514_s4159_r15224_p7266,mc23d,Zjets_tautau,832,2048,60950,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700794.Sh_2214_Ztautau_maxHTpTV2_CVetoBVeto.deriv.DAOD_PHYS.e8514_s4369_r16083_p7266,700794,Sh_2214_Ztautau_maxHTpTV2_CVetoBVeto,e8514_s4369_r16083_p7266,mc23e,Zjets_tautau,844,1850,61840,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700793.Sh_2214_Ztautau_maxHTpTV2_CFilterBVeto.deriv.DAOD_PHYS.e8514_s4369_r16083_p7266,700793,Sh_2214_Ztautau_maxHTpTV2_CFilterBVeto,e8514_s4369_r16083_p7266,mc23e,Zjets_tautau,935,2121,61870,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700794.Sh_2214_Ztautau_maxHTpTV2_CVetoBVeto.deriv.DAOD_PHYS.e8514_s4159_r15530_p7266,700794,Sh_2214_Ztautau_maxHTpTV2_CVetoBVeto,e8514_s4159_r15530_p7266,mc23d,Zjets_tautau,4363,9024,308200,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700794.Sh_2214_Ztautau_maxHTpTV2_CVetoBVeto.deriv.DAOD_PHYS.e8514_s4162_r15540_p7266,700794,Sh_2214_Ztautau_maxHTpTV2_CVetoBVeto,e8514_s4162_r15540_p7266,mc23a,Zjets_tautau,4651,8367,315000,,,Not submitted,,,,,,,,,,,,,,
