DID,DSID,Physics_identifier,Tags,MC_campaign,Physics_process_short,Files,Size [GB],Events [k],Job_ID,Job_link,Status,ZdZd13TeV_commit,Athena_release,Submitted_by,Submitted_date,Finished_date,Output_dataset,Ntuple_files,Ntuple_size [GB],Ntuple_events,hard_l_pdgId,truth_llll_tlv_pt,llll_tlv_pt,Merged_file_path,Notes
mc23_13p6TeV:mc23_13p6TeV.601230.PhPy8EG_A14_ttbar_hdamp258p75_dil.deriv.DAOD_PHYS.e8514_s4162_r15540_p7266,601230,PhPy8EG_A14_ttbar_hdamp258p75_dil,e8514_s4162_r15540_p7266,mc23a,ttbar,312,1621,49970,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601230.PhPy8EG_A14_ttbar_hdamp258p75_dil.deriv.DAOD_PHYS.e8514_s4159_r15530_p7266,601230,PhPy8EG_A14_ttbar_hdamp258p75_dil,e8514_s4159_r15530_p7266,mc23d,ttbar,3787,8883,249770,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601230.PhPy8EG_A14_ttbar_hdamp258p75_dil.deriv.DAOD_PHYS.e8514_s4369_r16083_p7266,601230,PhPy8EG_A14_ttbar_hdamp258p75_dil,e8514_s4369_r16083_p7266,mc23e,ttbar,4366,9067,249410,,,Not submitted,,,,,,,,,,,,,,
