DID,DSID,Physics_identifier,Tags,MC_campaign,Physics_process_short,Files,Size [GB],Events [k],Job_ID,Job_link,Status,Git_tag,AB_release,Submitted_by,Submitted_date,Finished_date,Output_dataset,Ntuple_files,Ntuple_size [GB],Ntuple_events [k],Merged_file_path,Notes
mc23_13p6TeV:mc23_13p6TeV.700789.Sh_2214_Zmumu_maxHTpTV2_BFilter.deriv.DAOD_PHYS.e8514_s4162_r15540_p7266,700789,Sh_2214_Zmumu_maxHTpTV2_BFilter,e8514_s4162_r15540_p7266,mc23a,Zjets_mumu,416,830.484,26270,,,Not submitted,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700790.Sh_2214_Zmumu_maxHTpTV2_CFilterBVeto.deriv.DAOD_PHYS.e8514_s4162_r15540_p7266,700790,Sh_2214_Zmumu_maxHTpTV2_CFilterBVeto,e8514_s4162_r15540_p7266,mc23a,Zjets_mumu,555,1106,37940,,,Not submitted,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700789.Sh_2214_Zmumu_maxHTpTV2_BFilter.deriv.DAOD_PHYS.e8514_s4369_r16083_p7266,700789,Sh_2214_Zmumu_maxHTpTV2_BFilter,e8514_s4369_r16083_p7266,mc23e,Zjets_mumu,604,1248,35340,,,Not submitted,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700789.Sh_2214_Zmumu_maxHTpTV2_BFilter.deriv.DAOD_PHYS.e8514_s4159_r15224_p7266,700789,Sh_2214_Zmumu_maxHTpTV2_BFilter,e8514_s4159_r15224_p7266,mc23d,Zjets_mumu,676,1216,35340,,,Not submitted,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700790.Sh_2214_Zmumu_maxHTpTV2_CFilterBVeto.deriv.DAOD_PHYS.e8514_s4159_r15224_p7266,700790,Sh_2214_Zmumu_maxHTpTV2_CFilterBVeto,e8514_s4159_r15224_p7266,mc23d,Zjets_mumu,871,1939,60900,,,Not submitted,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700790.Sh_2214_Zmumu_maxHTpTV2_CFilterBVeto.deriv.DAOD_PHYS.e8514_s4369_r16083_p7266,700790,Sh_2214_Zmumu_maxHTpTV2_CFilterBVeto,e8514_s4369_r16083_p7266,mc23e,Zjets_mumu,1022,2028,61850,,,Not submitted,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700791.Sh_2214_Zmumu_maxHTpTV2_CVetoBVeto.deriv.DAOD_PHYS.e8514_s4162_r15540_p7266,700791,Sh_2214_Zmumu_maxHTpTV2_CVetoBVeto,e8514_s4162_r15540_p7266,mc23a,Zjets_mumu,3638,7781,314620,,,Not submitted,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700791.Sh_2214_Zmumu_maxHTpTV2_CVetoBVeto.deriv.DAOD_PHYS.e8514_s4159_r15530_p7266,700791,Sh_2214_Zmumu_maxHTpTV2_CVetoBVeto,e8514_s4159_r15530_p7266,mc23d,Zjets_mumu,4933,8493,308980,,,Not submitted,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.700791.Sh_2214_Zmumu_maxHTpTV2_CVetoBVeto.deriv.DAOD_PHYS.e8514_s4369_r16083_p7266,700791,Sh_2214_Zmumu_maxHTpTV2_CVetoBVeto,e8514_s4369_r16083_p7266,mc23e,Zjets_mumu,5650,8770,308890,,,Not submitted,,,,,,,,,,,
