DID,DSID,Physics_identifier,Tags,MC_campaign,Physics_process_short,Files,Size [GB],Events [k],JediTask_ID,Job_link,Status,ZdZd13TeV_commit,Athena_release,Submitted_by,Submitted_date,Finished_date,Output_dataset,Ntuple_files,Ntuple_size [GB],Ntuple_events,hard_l_pdgId,truth_llll_tlv_pt,llll_tlv_pt,Merged_file_path,Notes
mc23_13p6TeV:mc23_13p6TeV.701274.Sh_22_ttll_2LFilter.deriv.DAOD_PHYS.e8532_s4162_r15540_p7266,701274,Sh_22_ttll_2LFilter,e8532_s4162_r15540_p7266,mc23a,ttbarZ,59,139.633,3140,51840854,https://bigpanda.cern.ch/task/51840854/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,02/08/2026,2026-08-02,user.connell.20260802.mc23a_701274_v1,1,1.13,3140000,0,61062,8162,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ttbarZ/701274.Sh_22_ttll_2LFilter.mc23a.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701274.Sh_22_ttll_2LFilter.deriv.DAOD_PHYS.e8532_s4159_r15530_p7266,701274,Sh_22_ttll_2LFilter,e8532_s4159_r15530_p7266,mc23d,ttbarZ,84,150.06,3140,51844687,https://bigpanda.cern.ch/task/51844687/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-02,30/07/2026,user.connell.20260802.mc23d_701274_v1,4,0.016,11893,0,0,8062,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ttbarZ/701274.Sh_22_ttll_2LFilter.mc23d.p7266.v1.root,Truth branches empty.
mc23_13p6TeV:mc23_13p6TeV.701274.Sh_22_ttll_2LFilter.deriv.DAOD_PHYS.e8532_s4369_r16083_p7266,701274,Sh_22_ttll_2LFilter,e8532_s4369_r16083_p7266,mc23e,ttbarZ,222,558.773,11550,51840858,https://bigpanda.cern.ch/task/51840858/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-02,2026-08-02,user.connell.20260802.mc23e_701274_v1,2,4.157,11550000,0,223750,29826,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ttbarZ/701274.Sh_22_ttll_2LFilter.mc23e.p7266.v1.root,
